business_id,score,date
96623,100,3/16/15
70890,91,10/1/14
70890,95,10/1/14
70890,92,10/13/14
70890,96,10/13/14
70890,92,3/23/15
70400,98,11/18/14
70400,100,5/11/15
71759,97,6/19/14
71759,98,12/12/14
50717,98,9/10/14
50717,94,2/26/15
74490,93,6/25/14
74490,97,6/25/14
74490,92,12/12/14
74490,92,5/28/15
89212,99,9/18/14
89212,98,3/27/15
53562,94,10/28/14
53562,100,11/10/14
53562,100,4/23/15
30906,100,12/1/14
30906,100,2/3/15
67304,99,9/11/14
67304,98,2/25/15
46762,100,6/16/14
46762,100,11/21/14
46762,100,5/18/15
73484,96,9/18/14
73484,94,2/25/15
45621,100,8/26/14
45621,100,3/4/15
32256,96,10/14/14
32256,99,4/22/15
30907,92,6/27/14
30907,91,7/10/14
30907,100,7/16/14
38576,96,6/27/14
56360,100,8/28/14
56360,100,3/3/15
49981,99,7/9/14
49981,100,1/2/15
31024,84,10/7/14
31024,91,10/7/14
31024,82,3/20/15
31024,93,3/30/15
39214,94,11/24/14
39214,98,11/24/14
39214,82,5/20/15
39214,91,5/20/15
39214,98,5/29/15
74489,100,7/9/14
74489,100,1/6/15
62183,100,7/16/14
62183,100,1/8/15
52206,93,9/11/14
52206,97,9/24/14
52206,99,3/12/15
30941,93,10/16/14
30941,97,10/16/14
30941,100,4/22/15
30944,99,6/11/14
30944,93,11/25/14
30944,100,11/25/14
30944,100,5/20/15
31984,99,9/15/14
31984,95,3/4/15
96527,100,12/10/14
90866,100,6/19/14
90866,98,12/29/14
32252,97,7/31/14
32252,91,1/21/15
31107,96,6/16/14
31107,94,12/18/14
31107,98,12/18/14
31312,95,11/5/14
31312,96,5/13/15
49627,100,10/21/14
49627,96,4/2/15
49627,100,4/15/15
78924,100,11/20/14
93252,100,12/23/14
30909,98,9/29/14
30909,100,4/8/15
92402,100,10/28/14
92402,100,4/24/15
82113,100,9/5/14
82113,92,3/2/15
82113,97,3/2/15
66548,100,6/23/14
66548,100,12/8/14
66548,99,5/15/15
76795,100,9/4/14
76795,100,10/7/14
76795,96,4/3/15
85947,91,8/14/14
85947,96,8/26/14
85947,100,9/5/14
85947,98,3/17/15
75004,93,8/4/14
75004,100,8/8/14
75004,94,1/26/15
75004,98,1/26/15
32996,100,6/11/14
32996,100,11/24/14
32996,100,5/19/15
73758,100,9/10/14
73758,94,3/11/15
54656,100,12/15/14
30915,93,12/8/14
30915,98,12/8/14
30956,92,8/4/14
30956,90,1/13/15
30956,90,1/27/15
32044,99,9/19/14
32044,99,3/4/15
71625,100,9/9/14
71625,100,2/23/15
71992,99,10/22/14
71992,98,5/20/15
31370,94,7/10/14
31370,95,1/7/15
31370,99,1/7/15
96283,100,9/18/14
96283,100,10/28/14
96283,99,4/29/15
47138,98,6/12/14
47138,97,11/25/14
32450,99,10/3/14
32450,98,4/1/15
69336,100,6/27/14
69336,98,1/14/15
30925,100,7/17/14
30925,100,1/9/15
30842,100,8/30/14
30842,100,10/25/14
34427,96,8/30/14
34427,100,10/25/14
34409,98,8/30/14
34409,100,10/25/14
34408,98,8/30/14
34408,100,10/25/14
30843,100,8/30/14
30843,93,10/25/14
30843,98,10/25/14
30845,98,8/30/14
30845,98,10/25/14
30844,100,8/30/14
30844,100,10/25/14
34387,100,8/30/14
34387,100,10/25/14
30853,100,8/30/14
30853,100,10/25/14
30859,100,8/30/14
30859,98,10/25/14
30848,100,8/30/14
30848,100,10/25/14
30849,98,10/25/14
30852,98,8/30/14
30852,100,10/25/14
30850,98,8/30/14
30850,100,10/25/14
30864,100,8/30/14
30864,96,10/25/14
30864,100,10/25/14
30857,100,8/30/14
30857,96,10/25/14
30854,100,8/30/14
30854,96,10/25/14
30854,100,10/25/14
34400,95,10/25/14
34400,100,10/25/14
34395,100,10/25/14
30856,100,8/30/14
30856,100,10/25/14
30858,100,8/30/14
30858,98,10/25/14
30847,98,8/30/14
30847,98,10/25/14
30860,94,8/30/14
30860,98,10/25/14
30861,100,8/30/14
30861,100,10/25/14
30862,98,10/25/14
30863,98,8/30/14
30863,99,10/25/14
62888,93,8/30/14
62888,98,8/30/14
62888,100,10/25/14
30851,98,8/30/14
30851,100,10/25/14
62919,98,8/30/14
62919,100,10/25/14
62914,100,10/25/14
62921,100,10/25/14
62920,100,8/30/14
62920,100,10/25/14
62917,98,8/30/14
62917,100,10/25/14
62917,96,10/25/14
62915,98,8/30/14
62915,100,10/25/14
77268,100,8/30/14
77268,93,10/25/14
77268,98,10/25/14
95896,100,8/4/14
95896,100,1/15/15
45419,99,11/4/14
45419,100,5/12/15
32300,99,8/15/14
32300,97,3/30/15
94406,99,6/30/14
94406,100,12/11/14
66680,100,8/22/14
66680,92,2/5/15
66680,100,2/19/15
91928,93,11/5/14
91928,99,11/19/14
73631,98,6/23/14
73631,98,12/12/14
73631,97,5/29/15
59608,99,6/27/14
59608,97,1/23/15
94033,99,6/25/14
94033,98,12/2/14
89763,100,9/26/14
89763,100,4/8/15
69638,96,12/2/14
74907,100,11/7/14
74907,100,1/6/15
92754,95,10/16/14
92754,100,10/16/14
92754,96,4/3/15
92754,100,4/17/15
30960,100,11/20/14
61875,100,10/16/14
61875,96,3/7/15
88313,100,9/22/14
88313,100,3/30/15
97512,100,5/29/15
84101,97,10/24/14
84101,97,4/22/15
30961,99,9/18/14
30961,98,2/10/15
30963,93,10/6/14
30963,97,10/6/14
30963,98,4/1/15
38432,96,10/17/14
38432,97,4/7/15
30965,100,8/26/14
30965,100,1/30/15
95185,95,10/15/14
95185,100,10/15/14
86782,100,7/23/14
86782,100,1/12/15
83911,100,12/1/14
83911,100,5/26/15
79860,100,6/26/14
79860,100,12/23/14
78681,100,12/1/14
30966,99,9/25/14
42866,99,8/7/14
42866,89,1/22/15
42866,97,1/22/15
37333,98,8/27/14
37333,99,2/25/15
88366,100,6/16/14
88366,100,12/26/14
75514,100,9/24/14
75514,99,3/10/15
75632,100,12/11/14
54282,95,10/15/14
54282,99,4/15/15
86161,97,7/7/14
86161,99,12/26/14
86955,98,11/26/14
95452,100,12/9/14
30978,100,12/10/14
31021,94,10/6/14
31021,90,3/13/15
31021,95,3/13/15
63584,85,7/21/14
63584,93,7/21/14
63584,96,8/1/14
63584,91,1/22/15
63584,96,1/22/15
63275,96,7/14/14
63275,93,1/7/15
63275,97,1/7/15
63275,95,1/21/15
63275,100,1/26/15
75722,97,10/13/14
75722,96,4/22/15
47139,90,10/21/14
47139,95,10/21/14
47139,97,5/21/15
30990,100,10/22/14
30990,100,1/23/15
30990,100,2/23/15
87125,100,12/23/14
30995,97,6/30/14
