Est Number,Reporting Area,Premise Name,Premise Address 1,Inspection Type,Score,Inspection Date,Violation List,Followup Required
92754,605,COUNTY CLUB,555 JEFFERSON ST.,1,100,16-Oct-13,,NO
92754,605,COUNTY CLUB,555 JEFFERSON ST.,1,99,17-Apr-14,19,NO
30960,605,COURTYARD BY MARRIOTT,775 NEWTOWN CT,1,99,20-Jun-13,20,NO
30960,605,COURTYARD BY MARRIOTT,775 NEWTOWN CT,1,99,15-Nov-13,15,NO
61875,605,COURTYARD BY MARRIOTT,1951 PLEASANT RIDGE DRIVE,1,95,13-Aug-13,   5   8  19,NO
61875,605,COURTYARD BY MARRIOTT,1951 PLEASANT RIDGE DRIVE,1,95,26-Mar-14,  17  19,YES
61875,605,COURTYARD BY MARRIOTT,1951 PLEASANT RIDGE DRIVE,2,100,14-Apr-14,,NO
88313,605,"COURTYARD CAFE, THE",800 ROSE STREET,1,100,4-Oct-13,,NO
88313,605,"COURTYARD CAFE, THE",800 ROSE STREET,1,100,18-Mar-14,,NO
84101,605,COVERED ARENA DINER,4089 IRON WORKS PIKE,1,97,21-Oct-13,  30  31  32,NO
84101,605,COVERED ARENA DINER,4089 IRON WORKS PIKE,1,93,21-Apr-14,  15  19  21,NO
84101,605,COVERED ARENA DINER,4089 IRON WORKS PIKE,2,100,9-May-14,,NO
30961,605,COWBOY'S,1515 RUSSELL CAVE RD,1,93,5-Nov-13,  19  26  33,NO
30961,605,COWBOY'S,1515 RUSSELL CAVE RD,2,97,5-Nov-13,  19  26,NO
30961,605,COWBOY'S,1515 RUSSELL CAVE RD,1,99,15-Mar-14,19,NO
30963,607,CRACKER BARREL OLD COUNTRY STORE #19,1927 STANTON WAY,1,99,18-Oct-13,30,NO
30963,607,CRACKER BARREL OLD COUNTRY STORE #19,1927 STANTON WAY,1,97,4-Apr-14,  15  19  20,NO
38432,607,CRACKER BARREL OLD COUNTRY STORE #77,2220 ELKHORN RD,1,98,28-Oct-13,  20  30,NO
38432,607,CRACKER BARREL OLD COUNTRY STORE #77,2220 ELKHORN RD,1,98,28-Apr-14,  19  30,NO
30965,605,CRAWFORD MIDDLE SCHOOL,1813 CHARLESTON DR,1,100,24-Sep-13,,NO
30965,605,CRAWFORD MIDDLE SCHOOL,1813 CHARLESTON DR,1,100,6-Mar-14,,NO
95185,605,CRAZY DOGS DELI,3101 CLAYS MILL RD STE. 401,1,100,1-May-14,,NO
86782,605,"CREATION KINGDOM HAMBURG, LLC",1748 ALYSHEBA WAY,1,97,26-Jul-13,  16  19,NO
86782,605,"CREATION KINGDOM HAMBURG, LLC",1748 ALYSHEBA WAY,1,100,3-Feb-14,,NO
83911,605,CREATION KINGDOM MILLPOND,3650 BOSTON RD SUITE L-1,1,100,12-Jun-13,,NO
83911,605,CREATION KINGDOM MILLPOND,3650 BOSTON RD SUITE L-1,1,100,4-Dec-13,,NO
79860,605,CREATIVE BEGINNINGS,2050 VERSAILLES RD. PEDS BLDG.,1,100,19-Jun-13,,NO
79860,605,CREATIVE BEGINNINGS,2050 VERSAILLES RD. PEDS BLDG.,1,100,23-Dec-13,,NO
78681,605,"CREATIVE KIDS CHILD CARE, INC.",2385 HUGUENARD DRIVE,1,100,2-Jul-13,,NO
78681,605,"CREATIVE KIDS CHILD CARE, INC.",2385 HUGUENARD DRIVE,1,100,16-Dec-13,,NO
30966,605,CRESTWOOD CHRISTIAN CHILD CC,1882 BELLEFONTE DR,1,100,20-Jun-13,,NO
30966,605,CRESTWOOD CHRISTIAN CHILD CC,1882 BELLEFONTE DR,1,100,17-Oct-13,,NO
30966,605,CRESTWOOD CHRISTIAN CHILD CC,1882 BELLEFONTE DR,1,100,4-Apr-14,,NO
42866,607,CRITCHFIELD MEATS,2220 NICHOLASVILLE RD STE. 166,1,98,26-Jun-13,  19  20,NO
42866,607,CRITCHFIELD MEATS,2220 NICHOLASVILLE RD STE. 166,1,98,27-Jan-14,8,NO
37333,605,CROSSINGS/BANG,117 N LIMESTONE ST,1,100,16-Sep-13,,NO
37333,605,CROSSINGS/BANG,117 N LIMESTONE ST,1,99,5-Feb-14,19,NO
75514,605,CULVER'S RESTAURANT,360 MEIJER WAY,1,100,29-Aug-13,,NO
75514,605,CULVER'S RESTAURANT,360 MEIJER WAY,1,100,29-Aug-13,,NO
75514,605,CULVER'S RESTAURANT,360 MEIJER WAY,1,100,10-Apr-14,,NO
75632,605,CULVER'S RESTAURANT,2161 PAUL JONES WAY,1,95,23-Dec-13,  18  33,NO
75632,605,CULVER'S RESTAURANT,2161 PAUL JONES WAY,2,99,23-Dec-13,18,NO
54282,605,CURRY HOUSE,2220 NICHOLASVILLE RD,1,100,23-Oct-13,,NO
54282,605,CURRY HOUSE,2220 NICHOLASVILLE RD,1,100,30-Apr-14,,NO
86161,605,CYNTHIA'S RESTAURANT,1875 AUGUSTA DR. STE 130,1,99,10-Jul-13,15,NO
86161,605,CYNTHIA'S RESTAURANT,1875 AUGUSTA DR. STE 130,1,98,9-Jan-14,   2  15,NO
86955,607,DAD'S FAVORITES,"820 LANE ALLEN, STE 148",1,100,21-Jun-13,,NO
86955,607,DAD'S FAVORITES,"820 LANE ALLEN, STE 148",1,100,24-Oct-13,,NO
86955,607,DAD'S FAVORITES,"820 LANE ALLEN, STE 148",1,98,22-Apr-14,  18  31,NO
30978,605,DAIRY QUEEN,3509 LANSDOWNE DRIVE,1,96,10-Sep-13,   4  19  23,NO
31021,605,DAIRY QUEEN,2300 PALUMBO DRIVE,1,90,27-Sep-13,   9  13  15  18  19  34,YES
31021,605,DAIRY QUEEN,2300 PALUMBO DRIVE,2,99,23-Oct-13,15,NO
31021,605,DAIRY QUEEN,2300 PALUMBO DRIVE,1,97,31-Mar-14,  12  15,NO
63584,605,DAIRY QUEEN,464 W NEW CIRCLE RD,1,92,3-Sep-13,  19  20  30  31  33,NO
63584,605,DAIRY QUEEN,464 W NEW CIRCLE RD,2,96,3-Sep-13,  19  20  30  31,NO
63584,605,DAIRY QUEEN,464 W NEW CIRCLE RD,1,97,20-Sep-13,   4  19,NO
63584,605,DAIRY QUEEN,464 W NEW CIRCLE RD,1,97,27-Jan-14,  15  16,NO
63275,605,DAIRY QUEEN #309,350 VIRGINIA AVE,1,86,5-Aug-13,   8  11  12  13  18  19,NO
63275,605,DAIRY QUEEN #309,350 VIRGINIA AVE,2,90,14-Aug-13,  17  22  26,NO
63275,605,DAIRY QUEEN #309,350 VIRGINIA AVE,2,98,14-Aug-13,26,NO
63275,605,DAIRY QUEEN #309,350 VIRGINIA AVE,1,91,22-Jan-14,  11  15  19  26,NO
63275,605,DAIRY QUEEN #309,350 VIRGINIA AVE,2,96,22-Jan-14,  15  19  26,NO
75722,605,DARAE & FRIENDS,"3459 BUCKHORN DR., #140",1,90,23-Oct-13,  12  16  17  19  23,YES
75722,605,DARAE & FRIENDS,"3459 BUCKHORN DR., #140",2,98,6-Nov-13,29,NO
75722,605,DARAE & FRIENDS,"3459 BUCKHORN DR., #140",1,96,14-Apr-14,  15  26  31,NO
47139,605,DARIO'S,1401 HARRODSBURG RD BLDG C,1,100,26-Sep-13,,NO
47139,605,DARIO'S,1401 HARRODSBURG RD BLDG C,1,100,27-Mar-14,,NO
30990,605,DEEP SPRINGS SCHOOL,1919 BRYNELL DR,1,99,19-Sep-13,19,NO
30990,605,DEEP SPRINGS SCHOOL,1919 BRYNELL DR,1,99,13-Mar-14,31,NO
87125,605,DEJA VU,"485 NEW CIRCLE RD, NW",1,99,6-Nov-13,18,NO
87125,605,DEJA VU,"485 NEW CIRCLE RD, NW",1,100,12-May-14,,NO
30995,607,"DELI MART, INC., THE",1009 GEORGETOWN ROAD,1,98,18-Jun-13,  15  19,NO
30995,607,"DELI MART, INC., THE",1009 GEORGETOWN ROAD,1,98,22-Nov-13,  15  31,NO
31491,605,DENNY'S #8766,1880 NEWTOWN PIKE,1,89,21-Jun-13,   5  12  20  26  33,NO
31491,605,DENNY'S #8766,1880 NEWTOWN PIKE,2,93,21-Jun-13,   5  12  20  26,NO
31491,605,DENNY'S #8766,1880 NEWTOWN PIKE,1,97,12-Nov-13,   8  19,NO
31491,605,DENNY'S #8766,1880 NEWTOWN PIKE,1,95,7-May-14,  13  19  30,YES
31494,605,DENNY'S #8770,1949 NICHOLASVILLE RD,1,93,4-Dec-13,  11  19  32,NO
31494,605,DENNY'S #8770,1949 NICHOLASVILLE RD,2,98,4-Dec-13,  19  32,NO
62056,605,DEPOT DELICATESSEN,"5751 BRIAR HILL ROAD, BLD 226",1,100,25-Jun-13,,NO
62056,605,DEPOT DELICATESSEN,"5751 BRIAR HILL ROAD, BLD 226",1,100,13-Dec-13,,NO
31615,605,DETROIT CONEY ISLAND,825 LANE ALLEN,1,100,25-Nov-13,,NO
31615,605,DETROIT CONEY ISLAND,825 LANE ALLEN,1,91,15-May-14,   8  12  15  19  30  31  32,NO
32515,605,DETROIT CONEY ISLAND,"1301 WINCHESTER RD, SUITE 81",1,98,6-Jun-13,  19  23,NO
32515,605,DETROIT CONEY ISLAND,"1301 WINCHESTER RD, SUITE 81",1,87,5-Dec-13,   8  11  13  15  19  31,YES
32515,605,DETROIT CONEY ISLAND,"1301 WINCHESTER RD, SUITE 81",2,100,16-Dec-13,,NO
32515,605,DETROIT CONEY ISLAND,"1301 WINCHESTER RD, SUITE 81",1,85,15-May-14,   1   2   6   8  11  15,YES
68414,605,"DEVOTION ENTERPRISES, LLC",4085 HARRODSBURG ROAD,1,100,26-Jun-13,,NO
68414,605,"DEVOTION ENTERPRISES, LLC",4085 HARRODSBURG ROAD,1,100,18-Dec-13,,NO
30743,607,DIANA SUPERMARKET INC,5584 VERSAILLES ROAD,1,100,12-Aug-13,,NO
30743,607,DIANA SUPERMARKET INC,5584 VERSAILLES ROAD,1,100,6-Feb-14,,NO
56945,605,"DISH, THE",438 S ASHLAND AVE,1,97,30-Dec-13,   8  15,NO
49294,605,DISMAS CHARITIES LEXINGTON,909 GEORGETOWN ROAD,1,97,16-Jul-13,   8  15,NO
49294,605,DISMAS CHARITIES LEXINGTON,909 GEORGETOWN ROAD,1,99,14-Jan-14,15,NO
69642,605,DIVA'S,1318 RUSSELL CAVE RD.,1,97,30-Jul-13,  16  30,NO
69642,605,DIVA'S,1318 RUSSELL CAVE RD.,1,99,26-Dec-13,30,NO
31006,605,DIXIE ELEMENTARY SCHOOL,1940 EASTLAND PKWY,1,100,24-Sep-13,,NO
31006,605,DIXIE ELEMENTARY SCHOOL,1940 EASTLAND PKWY,1,100,6-Feb-14,16,NO
62841,605,DOMINO'S,3090 HELMSDALE #300,1,97,3-Dec-13,13,NO
62841,605,DOMINO'S,3090 HELMSDALE #300,2,98,19-Dec-13,16,NO
62841,605,DOMINO'S,3090 HELMSDALE #300,1,100,15-May-14,,NO
31008,605,DOMINO'S PIZZA,3101 CLAYS MILL RD,1,100,17-Sep-13,,NO
31008,605,DOMINO'S PIZZA,3101 CLAYS MILL RD,1,100,27-Mar-14,,NO
31014,605,DOMINO'S PIZZA,3130 PIMLICO PKWY,1,100,27-Sep-13,,NO
47340,605,DOMINO'S PIZZA,828 LANE ALLEN RD,1,100,17-Sep-13,,NO
47340,605,DOMINO'S PIZZA,828 LANE ALLEN RD,1,100,27-Mar-14,,NO
66585,605,DOMINO'S PIZZA  #  1406,130 TIVERTON WAY-WEST,1,100,22-Jul-13,,NO
66585,605,DOMINO'S PIZZA  #  1406,130 TIVERTON WAY-WEST,1,100,6-Jan-14,,NO
64029,605,DOMINO'S PIZZA  #180,524 WEST NEW CIRCLE RD,1,98,1-Aug-13,5,NO
64029,605,DOMINO'S PIZZA  #180,524 WEST NEW CIRCLE RD,1,99,23-Dec-13,15,NO
31016,605,DOMINO'S PIZZA STS PIZZA,801 EUCLID AVE,1,84,14-Oct-13,  11  13  15  16  31  33,NO
31016,605,DOMINO'S PIZZA STS PIZZA,801 EUCLID AVE,2,93,14-Oct-13,  13  15  16  31,YES
31016,605,DOMINO'S PIZZA STS PIZZA,801 EUCLID AVE,2,100,25-Oct-13,,NO
31016,605,DOMINO'S PIZZA STS PIZZA,801 EUCLID AVE,1,100,1-Apr-14,,NO
79451,605,DON JOSE CUERVO MEXICAN CUISINE,861 S BROADWAY,1,87,17-Jul-13,   9  11  16  17,NO
79451,605,DON JOSE CUERVO MEXICAN CUISINE,861 S BROADWAY,2,100,17-Jul-13,,NO
79451,605,DON JOSE CUERVO MEXICAN CUISINE,861 S BROADWAY,1,94,22-Jan-14,  17  19  30,YES
79451,605,DON JOSE CUERVO MEXICAN CUISINE,861 S BROADWAY,2,99,23-Jan-14,30,NO
53940,605,DONATO'S,728 E. MAIN STREET,1,100,7-Nov-13,,NO
53940,605,DONATO'S,728 E. MAIN STREET,1,100,22-Apr-14,,NO
61333,605,DONATO'S,3120 MAPLELEAF DRIVE,1,96,10-Jun-13,  12  15  18,NO
61333,605,DONATO'S,3120 MAPLELEAF DRIVE,1,99,21-Nov-13,15,NO
62159,605,DONATO'S PIZZA,265 NEW CIRCLE ROAD,1,100,25-Jul-13,,NO
62159,605,DONATO'S PIZZA,265 NEW CIRCLE ROAD,1,98,20-Dec-13,  15  19,NO
66256,605,DONATO'S PIZZA,"3851 KENESAW DRIVE, STE. A",1,100,31-Jul-13,,NO
66256,605,DONATO'S PIZZA,"3851 KENESAW DRIVE, STE. A",1,100,31-Jan-14,,NO
56132,605,DONATO'S PIZZA - BEAUMONT CTR.,3070 LAKECREST CIRCLE,1,100,22-Oct-13,,NO
56132,605,DONATO'S PIZZA - BEAUMONT CTR.,3070 LAKECREST CIRCLE,1,98,15-Apr-14,  18  20,NO
32440,607,DONG YANG MARKET,"3101 CLAYS MILL RD., STE 102",1,100,30-Aug-13,,NO
32440,607,DONG YANG MARKET,"3101 CLAYS MILL RD., STE 102",1,100,10-Oct-13,,NO
32440,607,DONG YANG MARKET,"3101 CLAYS MILL RD., STE 102",1,96,23-Apr-14,   8   9,NO
31018,605,DONUT DAYS,185 SOUTHLAND DRIVE,1,97,6-Jan-14,  12  30,NO
69332,605,DOODLES,262 NORTH LIMESTONE,1,97,18-Jun-13,  15  19  30,NO
69332,605,DOODLES,262 NORTH LIMESTONE,1,97,19-Nov-13,  15  18  19,NO
72277,605,DOUBLE H BBQ,1244 VERSAILLES RD,1,100,6-Jun-13,,NO
72277,605,DOUBLE H BBQ,1244 VERSAILLES RD,1,100,16-Dec-13,,NO
37356,605,DOUBLE TREE GUEST SUITES,2601 RICHMOND ROAD,1,94,12-Dec-13,  11  20,NO
37356,605,DOUBLE TREE GUEST SUITES,2601 RICHMOND ROAD,2,99,12-Dec-13,20,NO
87496,605,DOUGHBY'S,561 S BROADWAY STE 110,1,97,8-Oct-13,  16  20,NO
87496,605,DOUGHBY'S,561 S BROADWAY STE 110,1,95,9-May-14,  17  19,NO
87496,605,DOUGHBY'S,561 S BROADWAY STE 110,2,99,9-May-14,19,NO
84961,605,DUDLEY'S RESTAURANT,259 W SHORT ST,1,99,26-Jun-13,19,NO
84961,605,DUDLEY'S RESTAURANT,259 W SHORT ST,1,91,26-Dec-13,   1  15  19  36,NO
84961,605,DUDLEY'S RESTAURANT,259 W SHORT ST,2,98,26-Dec-13,  15  19,NO
65669,605,DUNBAR BASEBALL CONCESSION,1600 MAN-0-WAR,1,100,14-Nov-13,,NO
65669,605,DUNBAR BASEBALL CONCESSION,1600 MAN-0-WAR,1,100,10-Mar-14,,NO
67302,605,DUNBAR FOOTBALL CONCESSION,1600 MAN O'WAR BLVD.,1,99,14-Nov-13,19,NO
67302,605,DUNBAR FOOTBALL CONCESSION,1600 MAN O'WAR BLVD.,1,99,10-Mar-14,19,NO
68558,605,DUNBAR HIGH SCHOOL SOFTBALL,1600 MAN-O-WAR BLVD.,1,100,14-Nov-13,,NO
68558,605,DUNBAR HIGH SCHOOL SOFTBALL,1600 MAN-O-WAR BLVD.,1,99,10-Mar-14,15,NO
80513,605,DUNKIN DONUTS,"333 E. MAIN ST., STE 180",1,98,12-Nov-13,12,NO
82346,605,DUNKIN DONUTS,1306 SOUTH BROADWAY,1,98,16-Sep-13,12,NO
82346,605,DUNKIN DONUTS,1306 SOUTH BROADWAY,1,93,25-Feb-14,  11  12,NO
82346,605,DUNKIN DONUTS,1306 SOUTH BROADWAY,2,98,25-Feb-14,12,NO
94470,605,DUNKIN DONUTS,4000 TERMINAL DR,1,100,9-Jan-14,,NO
55114,605,"DUPREE CATERING & EVENTS, LLC",1006 DELAWARE AVENUE,1,96,21-Jun-13,  12  15  18,NO
55114,605,"DUPREE CATERING & EVENTS, LLC",1006 DELAWARE AVENUE,1,98,6-Jan-14,  15  19,NO
32022,605,DURANGO'S MEXICAN RESTAURANT,"2121 RICHMOND ROAD, SUITE 150",1,98,19-Jun-13,  18  20,NO
32022,605,DURANGO'S MEXICAN RESTAURANT,"2121 RICHMOND ROAD, SUITE 150",1,89,23-Dec-13,   5   8  11  15  30,NO
32022,605,DURANGO'S MEXICAN RESTAURANT,"2121 RICHMOND ROAD, SUITE 150",2,94,23-Dec-13,   5   8  15  30,NO
31184,605,EAST 7TH STREET MISSION,240 EAST 7TH STREET,1,95,24-Jun-13,  16  19  26,NO
31184,605,EAST 7TH STREET MISSION,240 EAST 7TH STREET,1,94,26-Dec-13,  19  26  30  34,NO
93827,605,EASTERN STATE HOSPITAL - KITCHEN,1350 BULL LEA LANE,1,94,18-Feb-14,  19  31  33,NO
93827,605,EASTERN STATE HOSPITAL - KITCHEN,1350 BULL LEA LANE,2,98,18-Feb-14,  19  31,NO
75036,607,EDIBLE ARRANGEMENTS,"3101 RICHMOND ROAD, STE. 304",1,99,9-Jul-13,18,NO
75036,607,EDIBLE ARRANGEMENTS,"3101 RICHMOND ROAD, STE. 304",1,100,9-Jan-14,,NO
31044,605,EDUCARE LEARNING CENTER,2832 SNOW ROAD,1,100,9-Jul-13,,NO
31044,605,EDUCARE LEARNING CENTER,2832 SNOW ROAD,1,100,14-Jan-14,,NO
69420,605,EDYTHE J HAYES MIDDLE SCHOOL,260 RICHARDSON PLACE,1,100,4-Oct-13,,NO
69420,605,EDYTHE J HAYES MIDDLE SCHOOL,260 RICHARDSON PLACE,1,96,13-Mar-14,17,NO
69420,605,EDYTHE J HAYES MIDDLE SCHOOL,260 RICHARDSON PLACE,2,100,26-Mar-14,,NO
76884,605,EL CHARRO AUTHENTIC MEXICAN CUISINE,4371 OLD HARRODSBURG RD STE 180/190,1,88,22-Jul-13,   6  11  17  19,YES
76884,605,EL CHARRO AUTHENTIC MEXICAN CUISINE,4371 OLD HARRODSBURG RD STE 180/190,2,99,26-Jul-13,19,NO
76884,605,EL CHARRO AUTHENTIC MEXICAN CUISINE,4371 OLD HARRODSBURG RD STE 180/190,1,100,15-Jan-14,,NO
47339,605,EL CIELO BAR,1418 VILLAGE DRIVE,1,93,12-Feb-14,  15  16  26  31  32,NO
86918,605,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,1,95,23-Sep-13,  19  20  30  31  32,NO
86918,605,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,1,80,8-Oct-13,   4   6  13  15  19  25  26  27  30  31  32,NO
86918,605,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,2,87,8-Oct-13,   4   6  15  19  26  27  30  31  32,YES
86918,605,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,2,96,18-Oct-13,  19  27  31,NO
86918,605,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,1,90,29-Apr-14,   8  13  15  19  20  30  31,YES
86918,605,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,2,97,13-May-14,   8  15,NO
31592,605,EL HABANERO LOKO,102 W VINE ST,1,96,20-Jun-13,  15  30  34,NO
31592,605,EL HABANERO LOKO,102 W VINE ST,1,87,25-Nov-13,  11  18  19  26  31  32  34,NO
31592,605,EL HABANERO LOKO,102 W VINE ST,2,92,25-Nov-13,  18  19  26  31  32  34,NO
81712,605,EL MARIACHI MEXICAN RESTAURANT,125 TOWNE CENTER DR STE 115,1,91,18-Jun-13,   8  15  17  19  20,NO
81712,605,EL MARIACHI MEXICAN RESTAURANT,125 TOWNE CENTER DR STE 115,2,95,18-Jun-13,   8  15  19  20,NO
81712,605,EL MARIACHI MEXICAN RESTAURANT,125 TOWNE CENTER DR STE 115,1,95,26-Nov-13,  15  19  31  34,NO
67778,607,EL MILAGRO DOS,"1545 ALEXANDRIA DRIVE, STE C-1",1,97,31-Jul-13,   9  32,NO
67778,607,EL MILAGRO DOS,"1545 ALEXANDRIA DRIVE, STE C-1",1,97,24-Jan-14,   4  19,NO
67778,607,EL MILAGRO DOS,"1545 ALEXANDRIA DRIVE, STE C-1",1,97,24-Jan-14,   4  19,NO
87294,607,EL RANCHO TAPATIO BAKERY,138 -140 BURT ROAD,1,100,9-Aug-13,,NO
87294,607,EL RANCHO TAPATIO BAKERY,138 -140 BURT ROAD,1,100,27-Jan-14,,NO
69603,605,EL RANCHO TAPATIO TAQUERIA &,144 BURT ROAD,1,95,9-Aug-13,   8  15  18  19,NO
69603,605,EL RANCHO TAPATIO TAQUERIA &,144 BURT ROAD,1,99,3-Oct-13,15,NO
69603,605,EL RANCHO TAPATIO TAQUERIA &,144 BURT ROAD,1,91,27-Jan-14,   3   4  18  20,YES
69603,605,EL RANCHO TAPATIO TAQUERIA &,144 BURT ROAD,2,98,6-Feb-14,6,NO
74015,605,EL REY DE-LOS POLLOS & EL REY DE MARISCOS,1485-1 ALEXANDRER DR.,1,94,5-Aug-13,   9  15  18  19  20,NO
74015,605,EL REY DE-LOS POLLOS & EL REY DE MARISCOS,1485-1 ALEXANDRER DR.,1,100,19-Aug-13,,NO
74015,605,EL REY DE-LOS POLLOS & EL REY DE MARISCOS,1485-1 ALEXANDRER DR.,1,93,31-Jan-14,   8   9  15  19  31,NO
31012,605,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,2,90,3-Jun-13,   3   4   8  18,YES
31012,605,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,2,94,13-Jun-13,  15  18  19  26  31,NO
31012,605,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,1,100,13-Nov-13,,NO
64268,605,EL TORO RESTAURANT,1917 NICHOLASVILLE ROAD,1,96,24-Jun-13,1,NO
64268,605,EL TORO RESTAURANT,1917 NICHOLASVILLE ROAD,2,100,24-Jun-13,,NO
64268,605,EL TORO RESTAURANT,1917 NICHOLASVILLE ROAD,1,96,17-Dec-13,   6  18  20,NO
89752,605,ELLO'S ON BROADWAY,406 S BROADWAY STE 200,1,89,18-Sep-13,   1  13  33,NO
89752,605,ELLO'S ON BROADWAY,406 S BROADWAY STE 200,2,100,18-Sep-13,,NO
89752,605,ELLO'S ON BROADWAY,406 S BROADWAY STE 200,1,90,6-Mar-14,   3   5  13,NO
89752,605,ELLO'S ON BROADWAY,406 S BROADWAY STE 200,2,98,6-Mar-14,5,NO
62113,605,EMBASSY SUITES LEXINGTON,1801 NEWTOWN PIKE,1,89,27-Jun-13,  11  19  20  33,NO
62113,605,EMBASSY SUITES LEXINGTON,1801 NEWTOWN PIKE,2,98,27-Jun-13,  19  20,NO
62113,605,EMBASSY SUITES LEXINGTON,1801 NEWTOWN PIKE,1,93,26-Dec-13,   1   8  19,NO
62113,605,EMBASSY SUITES LEXINGTON,1801 NEWTOWN PIKE,2,97,26-Dec-13,   8  19,NO
81390,605,EMBRACE UNITED METHODIST CHURCH,1015 N LIMESTONE ST.,1,100,2-Jul-13,,NO
81390,605,EMBRACE UNITED METHODIST CHURCH,1015 N LIMESTONE ST.,1,100,19-Nov-13,,NO
72708,605,EMERSON CENTER,2050 GARDEN SPRINGS DR,1,100,25-Nov-13,,NO
76396,605,ENOTECA,"191 JEFFERSON STREET, 1ST FLOOR",1,99,8-Jul-13,15,NO
76396,605,ENOTECA,"191 JEFFERSON STREET, 1ST FLOOR",1,99,14-Jan-14,15,NO
86708,605,EQUESTRIAN ROOM KITCHEN,4201 VERSAILLES RD,1,97,8-Oct-13,  15  18  19,NO
86708,605,EQUESTRIAN ROOM KITCHEN,4201 VERSAILLES RD,1,94,9-Apr-14,  15  17  19,YES
86708,605,EQUESTRIAN ROOM KITCHEN,4201 VERSAILLES RD,2,98,23-Apr-14,  15  19,NO
86714,605,EVERGREEN BAPTIST CHURCH,749 FLORIDA ST.,1,97,18-Oct-13,  16  30,NO
86714,605,EVERGREEN BAPTIST CHURCH,749 FLORIDA ST.,1,97,22-Apr-14,  16  20,NO
31624,605,EXPRESS 11,430 WEST VINE STREET,1,100,29-Oct-13,,NO
31624,605,EXPRESS 11,430 WEST VINE STREET,1,100,19-Mar-14,,NO
35860,607,F & D MARKET,573 ELM TREE LANE,1,96,18-Sep-13,   8  15  19,NO
35860,607,F & D MARKET,573 ELM TREE LANE,1,72,17-Feb-14,   5  11  12  16  17  19  26  28  30  31  33,YES
83768,607,FAIRFIELD INN & SUITES,2100 HACKNEY PLACE,1,97,24-Sep-13,13,YES
83768,607,FAIRFIELD INN & SUITES,2100 HACKNEY PLACE,1,97,24-Sep-13,13,YES
83768,607,FAIRFIELD INN & SUITES,2100 HACKNEY PLACE,1,99,12-Mar-14,20,NO
42875,605,FAITH LUTHERAN CHILD CARE MINISTRIES,1000 TATES CREEK RD,1,100,8-Oct-13,,NO
42875,605,FAITH LUTHERAN CHILD CARE MINISTRIES,1000 TATES CREEK RD,1,100,2-Apr-14,,NO
90818,605,FAMILY CARE CENTER (LFUCG),1135 RED MILE PLACE,1,100,19-Jun-13,,NO
90818,605,FAMILY CARE CENTER (LFUCG),1135 RED MILE PLACE,1,100,26-Dec-13,,NO
60888,607,FARM MARKET,1079 E NEW CIRCLE RD,1,98,12-Jun-13,12,NO
60888,607,FARM MARKET,1079 E NEW CIRCLE RD,1,92,23-Dec-13,   1  13  15,NO
60888,607,FARM MARKET,1079 E NEW CIRCLE RD,2,99,23-Dec-13,15,NO
31073,605,FASIG-TIPTON BAR,2400 NEWTOWN PIKE,1,100,1-Sep-13,,NO
31073,605,FASIG-TIPTON BAR,2400 NEWTOWN PIKE,1,100,20-Mar-14,,NO
31072,605,FASIG-TIPTON COFFEE SHOP,2400 NEWTOWN PIKE,1,99,1-Sep-13,15,NO
31072,605,FASIG-TIPTON COFFEE SHOP,2400 NEWTOWN PIKE,1,99,20-Mar-14,19,NO
31070,605,FASIG-TIPTON MAIN DINING,2400 NEWTOWN PIKE,1,96,10-Sep-13,  16  19  31,NO
31070,605,FASIG-TIPTON MAIN DINING,2400 NEWTOWN PIKE,1,98,20-Mar-14,12,NO
30942,607,FAST STOP,1392 TRENT BLVD,1,95,1-Aug-13,  19  31  32  34,NO
30942,607,FAST STOP,1392 TRENT BLVD,1,97,9-Jan-14,   2  15  30,NO
92596,605,FAT BOYS BBQ,1205 E NEW CIRCLE RD,1,96,12-Sep-13,  16  26,NO
92596,605,FAT BOYS BBQ,1205 E NEW CIRCLE RD,1,96,4-Apr-14,  16  26,NO
47556,605,FAYETTE CO. CO-OP EXT. SERVICE,1140 RED MILE PLACE,1,100,25-Oct-13,,NO
47556,605,FAYETTE CO. CO-OP EXT. SERVICE,1140 RED MILE PLACE,1,99,7-May-14,19,NO
51962,605,FAYETTE COUNTY PRESCHOOL,465 SPRINGHILL DRIVE,1,100,4-Nov-13,,NO
51962,605,FAYETTE COUNTY PRESCHOOL,465 SPRINGHILL DRIVE,1,100,13-Feb-14,,NO
75019,605,FAYETTE REG. JUV. DET. CTR.,3475 SPURR ROAD,1,100,28-Jun-13,,NO
75019,605,FAYETTE REG. JUV. DET. CTR.,3475 SPURR ROAD,1,100,20-Dec-13,,NO
