Est Number,Reporting Area,Premise Name,Premise Address 1,Inspection Type,Score,Inspection Date,Violation List,Followup Required
31995,607,ATHENS FOOD MART,5522 ATHENS-BOONESBORO ROAD,1,99,21-Jun-13,20,NO
31995,607,ATHENS FOOD MART,5522 ATHENS-BOONESBORO ROAD,1,96,9-Dec-13,  16  29,NO
76625,605,ATHENS-CHILESBURG ELEMENTARY,900 CHILESBURG ROAD,1,99,17-Oct-13,32,NO
76625,605,ATHENS-CHILESBURG ELEMENTARY,900 CHILESBURG ROAD,1,99,17-Apr-14,18,NO
30742,605,ATOMIC CAFE,265 N LIMESTONE ST,1,94,28-Jun-13,  11  15,NO
30742,605,ATOMIC CAFE,265 N LIMESTONE ST,2,99,28-Jun-13,15,NO
30742,605,ATOMIC CAFE,265 N LIMESTONE ST,1,92,26-Dec-13,  15  21  23  31,NO
30742,605,ATOMIC CAFE,265 N LIMESTONE ST,2,97,26-Dec-13,  15  23  31,NO
71209,605,AUNTIE ANNE'S  PRETZELS,3401 NICHOLASVILLE ROAD  PK 55,1,100,9-Sep-13,,NO
71209,605,AUNTIE ANNE'S  PRETZELS,3401 NICHOLASVILLE ROAD  PK 55,1,100,21-Feb-14,,NO
30773,605,AUSTIN CITY SALOON,2350 WOODHILL DR,1,97,8-Aug-13,  26  30,NO
30773,605,AUSTIN CITY SALOON,2350 WOODHILL DR,1,98,26-Mar-14,9,NO
61166,607,AVON MART,5693 BRIAR HILL ROAD,1,96,25-Jun-13,   8  12,NO
61166,607,AVON MART,5693 BRIAR HILL ROAD,1,83,13-Dec-13,  11  12  13  18  19  32  33,YES
61166,607,AVON MART,5693 BRIAR HILL ROAD,1,100,25-Feb-14,,NO
30774,607,AVON SERVICE MART AND GRILL,5569 BRIAR HILL ROAD,1,96,12-Dec-13,   2  12  30,NO
72696,605,AZUR,3070 LAKECREST CIR STE #550,1,98,4-Dec-13,  15  19,NO
76013,605,B.D.'S MONGOLIAN BARBEQUE,2309 SIR BARTON WAY,1,95,24-Jun-13,  18  19  20  27,NO
76013,605,B.D.'S MONGOLIAN BARBEQUE,2309 SIR BARTON WAY,1,98,9-Jan-14,  15  19,NO
67829,605,BACKSTRETCH BAR & GRILL,1784 BRYAN STATION RD,1,94,4-Jun-13,  15  19  33,NO
67829,605,BACKSTRETCH BAR & GRILL,1784 BRYAN STATION RD,2,98,4-Jun-13,  15  19,NO
67829,605,BACKSTRETCH BAR & GRILL,1784 BRYAN STATION RD,1,99,13-Nov-13,15,NO
67829,605,BACKSTRETCH BAR & GRILL,1784 BRYAN STATION RD,1,98,5-May-14,  15  19,NO
89308,605,BACKSTRETCH BAR & GRILL (COMMISSARY FOR D DOGS),1784 BRYAN STATION RD,1,99,14-Aug-13,15,NO
89308,605,BACKSTRETCH BAR & GRILL (COMMISSARY FOR D DOGS),1784 BRYAN STATION RD,1,100,13-Nov-13,,NO
89308,605,BACKSTRETCH BAR & GRILL (COMMISSARY FOR D DOGS),1784 BRYAN STATION RD,1,100,5-May-14,,NO
61459,605,BACKYARD BURGERS,1816 ALYSHEBA WAY,1,91,24-Jun-13,   3   4  19  31,NO
61459,605,BACKYARD BURGERS,1816 ALYSHEBA WAY,2,96,24-Jun-13,   4  19  31,NO
61459,605,BACKYARD BURGERS,1816 ALYSHEBA WAY,1,97,17-Dec-13,  19  20  31,NO
65287,605,BACKYARD BURGERS,397 WALLER AVE,1,94,25-Sep-13,   3  15,NO
65287,605,BACKYARD BURGERS,397 WALLER AVE,2,99,25-Sep-13,15,NO
65287,605,BACKYARD BURGERS,397 WALLER AVE,2,96,16-Dec-13,  15  26  30,NO
65287,605,BACKYARD BURGERS,397 WALLER AVE,1,97,7-Mar-14,   8  15,NO
32225,605,BAKERY BLESSINGS & BOOKSTORE @ THE BAR,1999 HARRODSBURG RD,1,100,7-Nov-13,,NO
85008,605,BAKERY NIETO - PANADERIA NIETO,1426 VILLAGE DR,1,87,7-Aug-13,   5   8   9  13  16  26,NO
85008,605,BAKERY NIETO - PANADERIA NIETO,1426 VILLAGE DR,2,96,27-Aug-13,   9  26,NO
85008,605,BAKERY NIETO - PANADERIA NIETO,1426 VILLAGE DR,1,96,4-Feb-14,   8  19  32,NO
94566,605,BAPTIST HEALTH LEXINGTON CHILD DEVELOPMENT CENTER,110 SOUTHLAND DR,1,100,10-Jan-14,,NO
30885,605,"BAPTIST HEALTH LEXINGTON, CAFE CENTRAL",1740 S LIMESTONE ST,1,100,7-Jun-13,,NO
66803,605,"BAPTIST HEALTH LEXINGTON, EDUCATION CENTER",1720 NICHOLASVILLE,1,100,18-Jun-13,,NO
66803,605,"BAPTIST HEALTH LEXINGTON, EDUCATION CENTER",1720 NICHOLASVILLE,1,100,23-Dec-13,,NO
89926,605,BARBARA COOK CATERING,1054 W HIGH STREET,1,98,10-Jul-13,  30  31,NO
89926,605,BARBARA COOK CATERING,1054 W HIGH STREET,1,99,7-Jan-14,31,NO
61343,605,BARNES & NOBLE BOOKSELLERS,1932 PAVILLION WAY,1,100,8-Jul-13,,NO
61343,605,BARNES & NOBLE BOOKSELLERS,1932 PAVILLION WAY,1,100,7-Jan-14,,NO
30782,605,BASKIN ROBBINS,3383 TATES CREEK RD,1,99,12-Aug-13,15,NO
30782,605,BASKIN ROBBINS,3383 TATES CREEK RD,1,95,6-Feb-14,  13  18  30,YES
30782,605,BASKIN ROBBINS,3383 TATES CREEK RD,2,97,18-Feb-14,  15  30  31,NO
91909,605,BASKIN ROBBINS,3061 FIELDSTONE WAY #1400,1,97,26-Nov-13,  23  30  31,NO
32402,605,BASKIN ROBBINS ICE CREAM,115 NORTH LOCUST HILL  # 101,1,89,12-Jul-13,   2   8  19  20  23  29  31  34,NO
32402,605,BASKIN ROBBINS ICE CREAM,115 NORTH LOCUST HILL  # 101,1,93,9-Jan-14,   8  15  19  29  31,NO
32215,605,BAYOU BLUEGRASS CATERING@,RED MILE CLUBHOUSE,1,99,28-Jun-13,32,NO
32215,605,BAYOU BLUEGRASS CATERING@,RED MILE CLUBHOUSE,1,97,24-Jan-14,  15  20  32,NO
31181,605,BD'S MONGOLIAN GRILL,672 BLUE SKY PARKWAY,1,91,19-Jun-13,   5  16  19  26  34,NO
31181,605,BD'S MONGOLIAN GRILL,672 BLUE SKY PARKWAY,1,94,15-Jan-14,  16  19  20  26,NO
61796,605,BEAUMONT BAR & GRILL,3070 LAKECREST CIRCLE # 625,1,100,8-Aug-13,,NO
61796,605,BEAUMONT BAR & GRILL,3070 LAKECREST CIRCLE # 625,1,100,10-Feb-14,,NO
30785,605,BEAUMONT MIDDLE SCHOOL,2080 GEORGIAN WAY,1,100,22-Oct-13,,NO
30785,605,BEAUMONT MIDDLE SCHOOL,2080 GEORGIAN WAY,1,99,21-Mar-14,32,NO
58942,605,"BEER TRAPPE, THE",811 EUCLID AVENUE,1,100,16-Oct-13,,NO
58942,605,"BEER TRAPPE, THE",811 EUCLID AVENUE,1,100,1-Apr-14,,NO
56134,605,BELLA NOTTE ITALIAN TRATTORIA,3715 NICHOLASVILLE RD,1,100,6-Nov-13,,NO
56134,605,BELLA NOTTE ITALIAN TRATTORIA,3715 NICHOLASVILLE RD,1,98,7-May-14,  20  31,NO
94180,605,BELLE'S BAR,156 MARKET STREET,1,100,29-Oct-13,,NO
65274,605,BELLINI'S-MI INTERNATIONAL/DBA,115 W MAIN STREET,1,97,27-Jun-13,  19  31  32,NO
65274,605,BELLINI'S-MI INTERNATIONAL/DBA,115 W MAIN STREET,1,98,23-Dec-13,  15  20,NO
30789,605,BIG BLUE BIRD EARLY, CHILDHOOD CTR,1,99,26-Nov-13,15,NO
30789,605,BIG BLUE BIRD EARLY, CHILDHOOD CTR,1,96,8-May-14,33,NO
30789,605,BIG BLUE BIRD EARLY, CHILDHOOD CTR,2,100,8-May-14,,NO
30792,605,BILLY'S BAR B Q,101 COCHRAN RD,1,99,8-Aug-13,31,NO
93523,605,BLACK PEARL KIOSK,3401 NICHOLASVILLE RD,1,100,2-Aug-13,,NO
93523,605,BLACK PEARL KIOSK,3401 NICHOLASVILLE RD,1,100,22-Jan-14,,NO
32446,605,BLAZER CAFE,131 BLAZER HALL CAFETERIA,1,100,28-Oct-13,,NO
32446,605,BLAZER CAFE,131 BLAZER HALL CAFETERIA,1,98,7-Mar-14,  15  20,NO
31631,605,BLUE 3 STAND,430 WEST VINE STREET,1,97,25-Jun-13,13,YES
31631,605,BLUE 3 STAND,430 WEST VINE STREET,1,99,29-Oct-13,19,NO
31631,605,BLUE 3 STAND,430 WEST VINE STREET,1,100,19-Mar-14,,NO
80464,607,BLUE CHIP CAFE, GATTON COLLEGE OF BUSINESS,1,100,1-Oct-13,,NO
80464,607,BLUE CHIP CAFE, GATTON COLLEGE OF BUSINESS,1,100,13-Mar-14,,NO
31623,605,BLUE CONCOURSE NO. 4,430 WEST VINE STREET,1,100,29-Oct-13,,NO
31623,605,BLUE CONCOURSE NO. 4,430 WEST VINE STREET,1,99,19-Mar-14,19,NO
91112,605,BLUE DEVILS FOOTBALL BOOSTERS,2100 FONTAINE RD.,1,99,30-Oct-13,19,NO
90181,605,BLUE DOOR SMOKEHOUSE,226 WALTON AVE,1,100,11-Mar-14,,NO
91880,605,"BLUE HERON, THE",185 JEFFERSON ST.,1,100,21-Oct-13,,NO
91880,605,"BLUE HERON, THE",185 JEFFERSON ST.,1,100,25-Nov-13,,NO
68202,605,BLUE REEF - SUSHI & GRILL,1080 S BROADWAY #201,1,93,4-Jun-13,   1   9  15,NO
68202,605,BLUE REEF - SUSHI & GRILL,1080 S BROADWAY #201,2,97,4-Jun-13,   9  15,NO
68202,605,BLUE REEF - SUSHI & GRILL,1080 S BROADWAY #201,1,98,9-Jul-13,8,NO
68202,605,BLUE REEF - SUSHI & GRILL,1080 S BROADWAY #201,1,99,10-Jan-14,15,NO
31138,605,BLUEFIRE BAR & GRILL,401 W. HIGH STREET,1,93,17-Jun-13,   1  15  19  31,NO
31138,605,BLUEFIRE BAR & GRILL,401 W. HIGH STREET,2,97,17-Jun-13,  15  19  31,NO
31138,605,BLUEFIRE BAR & GRILL,401 W. HIGH STREET,1,96,27-Dec-13,   9  15  20,NO
62124,605,BLUEGRASS BAPTIST SCHOOL,3743 RED RIVER DRIVE,1,100,17-Dec-13,,NO
62124,605,BLUEGRASS BAPTIST SCHOOL,3743 RED RIVER DRIVE,1,100,6-Mar-14,,NO
30771,605,BLUEGRASS CAFE @ BCTC,470 COOPER DRIVE,1,100,30-Sep-13,,NO
30771,605,BLUEGRASS CAFE @ BCTC,470 COOPER DRIVE,1,100,13-Mar-14,,NO
37896,605,BLUEGRASS CATERING,223 N LIMESTONE ST,1,90,20-Jun-13,  12  15  19  20  28  31,YES
37896,605,BLUEGRASS CATERING,223 N LIMESTONE ST,2,90,11-Jul-13,   1  12  19  20  30  31,NO
37896,605,BLUEGRASS CATERING,223 N LIMESTONE ST,2,94,11-Jul-13,  12  19  20  30  31,NO
37896,605,BLUEGRASS CATERING,223 N LIMESTONE ST,1,90,25-Nov-13,   1  12  18  26  30,NO
37896,605,BLUEGRASS CATERING,223 N LIMESTONE ST,2,94,25-Nov-13,  12  18  26  30,NO
67747,605,BLUEGRASS GIRLS FASTPITCH,2000 PARKERS MILL RD,1,100,23-Oct-13,,NO
67747,605,BLUEGRASS GIRLS FASTPITCH,2000 PARKERS MILL RD,1,99,14-Apr-14,19,NO
76789,605,BLUEGRASS TAVERN,115 CHEAPSIDE,1,93,19-Jun-13,   1  19  26,NO
76789,605,BLUEGRASS TAVERN,115 CHEAPSIDE,2,97,19-Jun-13,  19  26,NO
76789,605,BLUEGRASS TAVERN,115 CHEAPSIDE,1,99,5-Nov-13,19,NO
76789,605,BLUEGRASS TAVERN,115 CHEAPSIDE,1,97,15-May-14,  19  26,NO
92854,605,BLUEGRASS VOLLEYBALL CENTER,709 MILES POINT WAY,1,98,31-Oct-13,8,NO
92854,605,BLUEGRASS VOLLEYBALL CENTER,709 MILES POINT WAY,1,99,8-May-14,19,NO
30800,605,BOB EVANS RESTAURANT #107,2341 BUENA VISTA RD,1,93,28-Oct-13,  11  12,NO
30800,605,BOB EVANS RESTAURANT #107,2341 BUENA VISTA RD,2,98,28-Oct-13,12,NO
30800,605,BOB EVANS RESTAURANT #107,2341 BUENA VISTA RD,1,98,5-May-14,26,NO
30800,605,BOB EVANS RESTAURANT #107,2341 BUENA VISTA RD,1,100,5-May-14,,NO
30799,605,BOB EVANS RESTAURANT #53,2560 RICHMOND RD,1,99,12-Jun-13,23,NO
30799,605,BOB EVANS RESTAURANT #53,2560 RICHMOND RD,1,99,7-Nov-13,20,NO
30799,605,BOB EVANS RESTAURANT #53,2560 RICHMOND RD,1,96,13-May-14,17,NO
30799,605,BOB EVANS RESTAURANT #53,2560 RICHMOND RD,2,100,13-May-14,,NO
87246,605,BOB'S HOT DOGS COMMISSARY,411 SOUTHLAND DR,1,100,19-Jun-13,,NO
87246,605,BOB'S HOT DOGS COMMISSARY,411 SOUTHLAND DR,1,100,27-Dec-13,,NO
31557,605,BOMBAY BAR & GRILL,102 WEST HIGH STREET,1,88,7-Nov-13,   9  12  15  17  19  26,YES
31557,605,BOMBAY BAR & GRILL,102 WEST HIGH STREET,2,100,18-Nov-13,,NO
31557,605,BOMBAY BAR & GRILL,102 WEST HIGH STREET,1,70,24-Apr-14,   1   2   3   9  13  15  17  19  26  30  31  32  33,YES
31557,605,BOMBAY BAR & GRILL,102 WEST HIGH STREET,2,100,7-May-14,,NO
72553,605,BONEFISH GRILL,2341 SIR BARTON WAY,1,89,25-Jun-13,  11  12  18  20  26,NO
72553,605,BONEFISH GRILL,2341 SIR BARTON WAY,2,94,25-Jun-13,  12  18  20  26,NO
72553,605,BONEFISH GRILL,2341 SIR BARTON WAY,1,98,8-Jan-14,  19  20,NO
30804,605,BOOKER T. WASHINGTON ACADEMY - PRIMARY,707 HOWARD STREET,1,93,19-Sep-13,  11  19  32,NO
30804,605,BOOKER T. WASHINGTON ACADEMY - PRIMARY,707 HOWARD STREET,2,98,19-Sep-13,  19  32,NO
30804,605,BOOKER T. WASHINGTON ACADEMY - PRIMARY,707 HOWARD STREET,1,97,4-Feb-14,   8  31,NO
30797,605,BOOKER T. WASHINGTON ACADEMY- INTERMEDIATE,475 PRICE ROAD,1,100,23-Oct-13,,NO
30797,605,BOOKER T. WASHINGTON ACADEMY- INTERMEDIATE,475 PRICE ROAD,1,96,18-Mar-14,   8  27,NO
68675,605,BOURBON & TOULOUSE,829 EUCLID AVENUE,1,100,18-Oct-13,,NO
68675,605,BOURBON & TOULOUSE,829 EUCLID AVENUE,1,99,2-Apr-14,31,NO
61165,607,BP OIL MAPLELEAF,3100 MAPLELEAF DR,1,97,6-Mar-14,  19  26,NO
37018,607,BP RICHMOND RD,2221 RICHMOND RD,1,100,5-Jul-13,,NO
37018,607,BP RICHMOND RD,2221 RICHMOND RD,1,100,13-Jan-14,,NO
76791,605,BRACKTOWN ACAD. LEARNING CTR.,3016 BRACKTOWN ROAD,1,87,17-Jun-13,   5   6  11  15  16  19,YES
76791,605,BRACKTOWN ACAD. LEARNING CTR.,3016 BRACKTOWN ROAD,2,99,26-Jun-13,15,NO
76791,605,BRACKTOWN ACAD. LEARNING CTR.,3016 BRACKTOWN ROAD,1,95,31-Oct-13,   9  12  19,NO
76791,605,BRACKTOWN ACAD. LEARNING CTR.,3016 BRACKTOWN ROAD,1,99,11-Apr-14,19,NO
76661,605,BRACKTOWN BAPTIST CHURCH,3016 BRACKTOWN ROAD,1,91,17-Jun-13,   1   5  16  19,YES
76661,605,BRACKTOWN BAPTIST CHURCH,3016 BRACKTOWN ROAD,2,100,26-Jun-13,,NO
76661,605,BRACKTOWN BAPTIST CHURCH,3016 BRACKTOWN ROAD,1,94,31-Oct-13,   1  19  20,NO
76661,605,BRACKTOWN BAPTIST CHURCH,3016 BRACKTOWN ROAD,2,98,31-Oct-13,  19  20,NO
76661,605,BRACKTOWN BAPTIST CHURCH,3016 BRACKTOWN ROAD,1,99,11-Apr-14,15,NO
87741,605,BRADFORD BBQ,"1301 WINCHESTER RD., STE 17",1,99,5-Dec-13,31,NO
30808,605,BRECKINRIDGE ELEMENTARY, SCHOOL,1,100,23-Sep-13,,NO
30808,605,BRECKINRIDGE ELEMENTARY, SCHOOL,1,100,7-Mar-14,,NO
77157,605,BRENDA D. COWAN COALITION,1364 DEVONPORT DRIVE,1,95,30-Jul-13,  19  28,YES
77157,605,BRENDA D. COWAN COALITION,1364 DEVONPORT DRIVE,2,96,23-Sep-13,28,YES
77157,605,BRENDA D. COWAN COALITION,1364 DEVONPORT DRIVE,2,100,27-Sep-13,,NO
77157,605,BRENDA D. COWAN COALITION,1364 DEVONPORT DRIVE,1,100,10-Jan-14,,NO
92289,605,BRICK OVEN PIZZERIA,4371 OLD HARRODSBURG RD #160,1,100,9-Sep-13,,NO
92289,605,BRICK OVEN PIZZERIA,4371 OLD HARRODSBURG RD #160,1,100,5-Mar-14,,NO
61878,605,"BRIDGE PIZZA, THE",393 WALLER AVE STE #5,1,95,25-Oct-13,11,NO
61878,605,"BRIDGE PIZZA, THE",393 WALLER AVE STE #5,2,100,25-Oct-13,,NO
61878,605,"BRIDGE PIZZA, THE",393 WALLER AVE STE #5,1,96,1-May-14,  12  26,NO
30822,605,BROOKS BBQ 2,771 E NEW CIRCLE ROAD,1,99,30-Dec-13,30,NO
56602,605,BRU BURGER BAR,3010 LAKECREST CIRCLE,1,100,14-Nov-13,,NO
56602,605,BRU BURGER BAR,3010 LAKECREST CIRCLE,1,96,20-Dec-13,17,NO
56602,605,BRU BURGER BAR,3010 LAKECREST CIRCLE,1,100,27-Dec-13,,NO
