business_id,name,address,city,state
30824,BURGER KING #1923,,Lexington,KY
50119,BURGER KING #8249,,Lexington,KY
52037,BURGER KING #8725,,Lexington,KY
83658,BUSTER'S BILLARDS AND BACKROOM,,Lexington,KY
30827,C & P RESTAURANT,,Lexington,KY
34431,CAFE SOUTH,,Lexington,KY
87760,CAJUN,,Lexington,KY
90279,CAKES BY JULIE,,Lexington,KY
31779,CAMBRIDGE PLACE,,Lexington,KY
30830,CAMELOT EAST,,Lexington,KY
30831,CAMELOT WEST,,Lexington,KY
30832,"CAMPBELL HOUSE, THE",,Lexington,KY
30783,CAMPUS CAFE,,Lexington,KY
47738,CAMPUS KIDS,,Lexington,KY
32521,CAMPUS PUB LLC,,Lexington,KY
30869,CAPTAIN D'S,,Lexington,KY
30870,CAPTAIN D'S,,Lexington,KY
30871,CAPTAIN D'S,,Lexington,KY
77359,CARAMANDA'S BAKE SHOP,,Lexington,KY
80653,CARAMANDA'S BAKE SHOPPE INC,,Lexington,KY
48726,CARAMEL CARNIVAL,,Lexington,KY
30872,CARDINAL HILL HOSPITAL,,Lexington,KY
30873,CARDINAL VALLEY ELEM. SCHOOL,,Lexington,KY
68737,CARINO'S #901,,Lexington,KY
75714,CARINO'S #904,,Lexington,KY
54982,CARMIKE 10 CINEMAS,,Lexington,KY
67299,CARRABBA'S ITALIAN GRILL,,Lexington,KY
69125,CASANOVA EXPRESS,,Lexington,KY
30881,CASSIDY ELEMENTARY SCHOOL,,Lexington,KY
65666,CATERING BY DONNA,,Lexington,KY
65030,CATHOLIC ACTION CENTER,,Lexington,KY
75078,"CELLAR BAR & GRILL, THE",,Lexington,KY
48036,CENTENARY UNITED METHODIST,,Lexington,KY
70805,CENTER FOR CLINICAL & TRANSLATIONAL SCIENCE,,Lexington,KY
74017,CENTRAL BAPTIST CHURCH,,Lexington,KY
38961,CENTRAL CHRISITAN CHILD CARE,,Lexington,KY
93825,CENTRAL KY RECOVERY CNTR - PCH #2,,Lexington,KY
93826,CENTRAL KY RECOVERY CNTR PAT CARE #1,,Lexington,KY
76417,CHAMPS SKATE CENTER,,Lexington,KY
62322,CHAO CAJUN #F-22,,Lexington,KY
30889,CHARLIE BROWN'S,,Lexington,KY
30678,CHARLIE'S SEAFOOD,,Lexington,KY
95975,CHASE TAP ROOM,,Lexington,KY
37650,CHATHAM'S SOUTHERN COMFORT FOOD,,Lexington,KY
30893,CHEAPSIDE BAR,,Lexington,KY
55047,CHEDDAR'S,,Lexington,KY
79522,CHEDDAR'S,,Lexington,KY
89981,"CHEN OSAKA , INC",,Lexington,KY
44583,CHENGS RESTAURANT,,Lexington,KY
30875,CHERISH THE CHILD,,Lexington,KY
88878,CHERRY BERRY,,Lexington,KY
30896,CHEVY CHASE INN,,Lexington,KY
70999,"CHICKEN CASA, THE",,Lexington,KY
69882,CHICK-FIL-A,,Lexington,KY
81292,CHICK-FIL-A,,Lexington,KY
67108,CHICK-FIL-A @ TURFLAND MALL,,Lexington,KY
32453,CHICK-FIL-A @ UK,,Lexington,KY
73934,CHICK-FIL-A FAYETTE MALL,,Lexington,KY
91129,CHILD DEVELOPMENT CENTER OF THE BLUEGRASS,,Lexington,KY
30899,CHILDREN'S HAVEN,,Lexington,KY
94734,"CHILDREN'S SPOT CREATIVE CHILDCARE, THE",,Lexington,KY
52855,CHILDREN'S TREEHOUSE OF KNOWLEDGE,,Lexington,KY
62511,CHILI'S #600,,Lexington,KY
