Est Number,Premise Name,Premise Address 1,Status,Inspection Type,Score,Inspection Date,Violation List,Followup Required,Opening Date
49701.0,SUBWAY,410 W VINE ST,ACTIVE,1.0,100.0,2015-11-23,,NO,1993-10-25
51322.0,SUBWAY,1951 STANTON WAY,ACTIVE,1.0,100.0,2015-04-13,,NO,1997-10-24
51322.0,SUBWAY,1951 STANTON WAY,ACTIVE,1.0,100.0,2015-09-30,,NO,1997-10-24
54983.0,SUBWAY,210 OLD MT. TABOR RD.,ACTIVE,1.0,100.0,2015-12-07,,NO,2015-12-07
59610.0,SUBWAY,785 NORTH BROADWAY,ACTIVE,1.0,98.0,2015-01-02,  20  30,NO,2010-09-15
59610.0,SUBWAY,785 NORTH BROADWAY,ACTIVE,1.0,97.0,2015-08-07,  13,NO,2010-09-15
59610.0,SUBWAY,785 NORTH BROADWAY,ACTIVE,2.0,100.0,2015-08-20,,NO,2010-09-15
61613.0,SUBWAY,2160 SIR BARTON WAY,ACTIVE,1.0,100.0,2015-04-14,,NO,2008-04-08
61613.0,SUBWAY,2160 SIR BARTON WAY,ACTIVE,1.0,100.0,2015-09-23,,NO,2008-04-08
63195.0,SUBWAY,1202 - A VERSAILLES ROAD,ACTIVE,1.0,99.0,2015-02-11,  15,NO,2014-08-12
63195.0,SUBWAY,1202 - A VERSAILLES ROAD,ACTIVE,1.0,99.0,2015-09-10,  20,NO,2014-08-12
66824.0,SUBWAY,175 E MAIN ST  STE #100,ACTIVE,1.0,100.0,2015-02-05,,NO,2010-09-08
66824.0,SUBWAY,175 E MAIN ST  STE #100,ACTIVE,1.0,98.0,2015-08-31,  12,NO,2010-09-08
67478.0,SUBWAY,125 E REYNOLDS RD STE 180,ACTIVE,1.0,100.0,2015-01-08,,NO,2010-12-14
67478.0,SUBWAY,125 E REYNOLDS RD STE 180,ACTIVE,1.0,98.0,2015-07-24,  12,NO,2010-12-14
67478.0,SUBWAY,125 E REYNOLDS RD STE 180,ACTIVE,1.0,90.0,2016-01-05,   3  12  13,YES,2010-12-14
67478.0,SUBWAY,125 E REYNOLDS RD STE 180,ACTIVE,2.0,95.0,2016-01-15,  12  13,YES,2010-12-14
70927.0,SUBWAY,1070 CHINOE RD STE 140,ACTIVE,1.0,100.0,2014-12-15,,NO,2005-08-15
70927.0,SUBWAY,1070 CHINOE RD STE 140,ACTIVE,1.0,100.0,2015-06-18,,NO,2005-08-15
70927.0,SUBWAY,1070 CHINOE RD STE 140,ACTIVE,1.0,100.0,2015-11-11,,NO,2005-08-15
71402.0,SUBWAY,3320 PARTNER PLACE #108,ACTIVE,1.0,100.0,2015-05-18,,NO,2005-01-18
71402.0,SUBWAY,3320 PARTNER PLACE #108,ACTIVE,1.0,100.0,2015-10-13,,NO,2005-01-18
80475.0,SUBWAY,220 AVENUE OF CHAMPIONS,ACTIVE,1.0,100.0,2015-04-16,,NO,2008-04-02
80475.0,SUBWAY,220 AVENUE OF CHAMPIONS,ACTIVE,1.0,100.0,2015-06-01,,NO,2008-04-02
80475.0,SUBWAY,220 AVENUE OF CHAMPIONS,ACTIVE,2.0,100.0,2015-07-22,,NO,2008-04-02
80475.0,SUBWAY,220 AVENUE OF CHAMPIONS,ACTIVE,1.0,100.0,2015-11-10,,NO,2008-04-02
36123.0,SUBWAY  #2819,409 WALLER AVENUE,ACTIVE,1.0,96.0,2015-12-18,   5  12,NO,2015-12-18
96285.0,SUBWAY - MI KING,179 FUNKHOUSER DR,ACTIVE,1.0,97.0,2015-03-24,   8  32,NO,2014-08-25
96285.0,SUBWAY - MI KING,179 FUNKHOUSER DR,ACTIVE,1.0,100.0,2015-11-09,,NO,2014-08-25
95827.0,SUBWAY - SOUTH PAVILION,"3851 MALL RD, STE 140",ACTIVE,1.0,100.0,2015-02-25,,NO,2014-07-28
95827.0,SUBWAY - SOUTH PAVILION,"3851 MALL RD, STE 140",ACTIVE,1.0,100.0,2015-08-12,,NO,2014-07-28
72521.0,SUBWAY #17552 @ WAL-MART,500 W. NEW CIRCLE RD,ACTIVE,1.0,100.0,2015-01-30,,NO,2014-07-17
72521.0,SUBWAY #17552 @ WAL-MART,500 W. NEW CIRCLE RD,ACTIVE,1.0,99.0,2015-07-30,  19,NO,2014-07-17
56508.0,SUBWAY #18997,3061 FIELDSTONE WAY,ACTIVE,1.0,97.0,2015-02-19,   8  15,NO,2014-09-04
56508.0,SUBWAY #18997,3061 FIELDSTONE WAY,ACTIVE,1.0,100.0,2015-09-10,,NO,2014-09-04
73337.0,SUBWAY #34835,630 E MAIN ST,ACTIVE,1.0,98.0,2015-05-15,  12,NO,2014-11-18
73337.0,SUBWAY #34835,630 E MAIN ST,ACTIVE,1.0,99.0,2015-11-06,  23,NO,2014-11-18
73977.0,SUBWAY #36137 @WAL-MART,4051 NICHOLASVILLE RD. STE 125,ACTIVE,1.0,100.0,2015-05-08,,NO,2005-06-10
73977.0,SUBWAY #36137 @WAL-MART,4051 NICHOLASVILLE RD. STE 125,ACTIVE,1.0,100.0,2015-10-30,,NO,2005-06-10
80974.0,SUBWAY #4767,1801 ALEXANDRIA DR #176,ACTIVE,1.0,91.0,2015-04-17,  12  15  17  26,NO,2012-10-26
80974.0,SUBWAY #4767,1801 ALEXANDRIA DR #176,ACTIVE,2.0,95.0,2015-04-17,  12  15  26,NO,2012-10-26
80974.0,SUBWAY #4767,1801 ALEXANDRIA DR #176,ACTIVE,1.0,93.0,2015-10-27,  13  19  26  31,YES,2012-10-26
80974.0,SUBWAY #4767,1801 ALEXANDRIA DR #176,ACTIVE,2.0,99.0,2015-11-09,  31,NO,2012-10-26
46591.0,SUBWAY #7507,"4218 SARON DR., SUITE 2",ACTIVE,1.0,82.0,2015-04-20,   1   4   8  12  13  17  19,YES,1993-04-20
46591.0,SUBWAY #7507,"4218 SARON DR., SUITE 2",ACTIVE,2.0,100.0,2015-05-01,,NO,1993-04-20
46591.0,SUBWAY #7507,"4218 SARON DR., SUITE 2",ACTIVE,1.0,100.0,2015-10-02,,NO,1993-04-20
64941.0,SUBWAY @ WAL-MART,"3180 RICHMOND RD, STE #180",ACTIVE,1.0,94.0,2014-12-18,  12  17,NO,2011-01-26
64941.0,SUBWAY @ WAL-MART,"3180 RICHMOND RD, STE #180",ACTIVE,2.0,98.0,2014-12-18,  12,NO,2011-01-26
